,Location Id,Easting,Northing
701,L1006569,574100.0,168400.0
702,L1006572,412200.0,427600.0
703,L1006582,275100.0,206600.0
704,L1006592,269600.0,629900.0
705,L1006594,378800.0,306200.0
706,L1006601,308600.0,598100.0
707,L1006602,242000.0,245000.0
708,L1006609,493600.0,505300.0
709,L1006611,281700.0,380000.0
710,L1006616,604500.0,162700.0
711,L1006622,541400.0,158200.0
712,L1006624,394500.0,210200.0
713,L1006627,218900.0,213300.0
714,L1006635,428200.0,95200.0
715,L1006638,191300.0,63700.0
716,L1006646,404900.0,263800.0
717,L1006654,484100.0,475100.0
718,L1006655,480200.0,259700.0
719,L1006680,318700.0,113500.0
720,L1006687,459800.0,236200.0
721,L1006695,541700.0,127400.0
722,L1006705,482700.0,188100.0
723,L1006718,254100.0,856600.0
724,L1006732,254900.0,258900.0
725,L1006734,523400.0,420200.0
726,L1006737,636000.0,292000.0
727,L1006738,514300.0,113600.0
728,L1006754,273500.0,280500.0
729,L1006763,587700.0,141700.0
730,L1006776,532900.0,146100.0
731,L1006809,449100.0,181200.0
732,L1006811,222700.0,90700.0
733,L1006813,159500.0,32900.0
734,L1006814,601200.0,262200.0
735,L1006815,511000.0,184600.0
736,L1006826,404300.0,187700.0
737,L1006830,441200.0,363600.0
738,L1006849,434600.0,345400.0
739,L1006850,542600.0,311500.0
740,L1006852,219800.0,90400.0
741,L1006859,457000.0,110900.0
742,L1006865,175300.0,31400.0
743,L1006875,424700.0,326900.0
744,L1006877,261400.0,49900.0
745,L1006879,448600.0,77800.0
746,L1006889,312500.0,742600.0
747,L1006891,612100.0,249100.0
748,L1006898,287200.0,579900.0
749,L1006925,175000.0,46800.0
750,L1006927,265100.0,851100.0
751,L1006932,328600.0,379200.0
752,L1006938,564800.0,164600.0
753,L1006939,402900.0,575300.0
754,L1006968,531600.0,275900.0
755,L1006971,161200.0,37900.0
756,L1006974,627900.0,336400.0
757,L1006979,467200.0,362400.0
758,L1006994,449600.0,328300.0
759,L1007000,454400.0,367700.0
760,L1007005,330300.0,476900.0
761,L1007006,410200.0,590500.0
762,L1007007,358600.0,207900.0
763,L1007017,522700.0,363700.0
764,L1007021,359500.0,379000.0
765,L1007027,352500.0,210500.0
766,L1007039,327000.0,578900.0
767,L1007055,330400.0,125900.0
768,L1007073,607200.0,313500.0
769,L1007075,458100.0,413400.0
770,L1007076,305800.0,309300.0
771,L1007077,334000.0,434500.0
772,L1007078,556000.0,110400.0
773,L1007081,485400.0,131600.0
774,L1007088,600400.0,338200.0
775,L1007097,466300.0,158600.0
776,L1007100,602400.0,255200.0
777,L1007106,619100.0,336900.0
778,L1007121,167800.0,22100.0
779,L1007124,164300.0,36000.0
780,L1007126,252200.0,842000.0
781,L1007129,168200.0,35400.0
782,L1007157,579600.0,266100.0
783,L1007159,368200.0,220800.0
784,L1007163,240700.0,72200.0
785,L1007165,587100.0,141600.0
786,L1007170,602300.0,276700.0
787,L1007175,622900.0,250700.0
788,L1007211,233000.0,604900.0
789,L1007216,299700.0,295000.0
790,L1007229,591500.0,267400.0
791,L1007233,503200.0,163200.0
792,L1007259,595800.0,263600.0
793,L1007267,406400.0,222100.0
794,L1007268,396800.0,211400.0
795,L1007280,282600.0,112700.0
796,L1007283,409100.0,106800.0
797,L1007287,311900.0,733900.0
798,L1007290,480700.0,137100.0
799,L1007294,264600.0,143000.0
800,L1007296,412700.0,254900.0
801,L1007297,636400.0,310700.0
802,L1007305,552400.0,109100.0
803,L1007306,258700.0,322700.0
804,L1007308,565400.0,268900.0
805,L1007313,487000.0,243400.0
806,L1007325,415500.0,205500.0
807,L1007329,347000.0,280700.0
808,L1007334,336200.0,165700.0
809,L1007339,283500.0,378900.0
810,L1007376,446600.0,83100.0
811,L1007377,277000.0,801800.0
812,L1007392,313400.0,265500.0
813,L1007398,484400.0,98000.0
814,L1007399,462700.0,330600.0
815,L1007408,354300.0,186300.0
816,L1007418,428200.0,123300.0
817,L1007426,202700.0,60000.0
818,L1007430,201400.0,58100.0
819,L1007435,587000.0,289500.0
820,L1007439,605300.0,245500.0
