Bird ID,Lab ID,Species Name,Final Result,Virus Isolated,Date Received,COUNTY,COUNTRY,speciesName,birdFamily,Order,originalReportedOSRef,originalOSEasting,originalOSNorthing,Case Ref Number,Index Bird,Case Ref Name,Town,District,County,Country,Species,Test date,Date PHE informed,High Path,Postcode,Comment,date,easting,northing,latitude,longitude,osGridRef
NA,AV000599-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB190,Y,Errol,Perth,Perth and Kinross,Perth and Kinross,Scotland,Common Buzzard,2022-02-08T00:00:00Z,NA,Yes,PH2 7TB,NA,2022-01-31,326886,725013,56.411665,-3.1865261,NO2688625013
NA,AV000600-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB05,N,Martin Mere,Burscough,West Lancashire Borough,Lancashire,England,Pink Footed Goose,2022-02-08T00:00:00Z,NA,Yes,L40 0TA,NA,2022-02-04,342871,414356,53.622609,-2.865204,SD4287114356
NA,AV000617-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB183,N,Mansfield,Mansfield,Mansfield,Nottinghamshire ,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,NG18 5HY,NA,2022-02-03,451941,359850,53.133287,-1.2251138,SK5194159850
NA,AV000617-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB183,N,Mansfield,Mansfield,Mansfield,Nottinghamshire ,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,NG18 5HY,NA,2022-02-03,451941,359850,53.133287,-1.2251138,SK5194159850
NA,AV000612-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB134,N,Bunbury,Alpraham,Cheshire East,Cheshire,England,Common Buzzard,2022-02-10T00:00:00Z,NA,Yes,CW6 9PX,NA,2022-02-05,357996,358066,53.118107,-2.6290468,SJ5799658066
NA,AV000614-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
NA,AV000614-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
NA,AV000614-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
NA,AV000614-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
NA,AV000614-22,NA,NA,H5N1,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
