,reportDate,infDate,confDate,cullStart,cullEnd
164,2022-10-07,2022-10-02,2022-10-09,2022-10-16,2022-10-16
165,2022-10-07,2022-10-02,2022-10-08,,
166,2022-10-06,2022-10-01,2022-10-08,,
167,2022-10-06,2022-09-24,2022-10-07,,
168,2022-10-06,2022-09-29,2022-10-07,,
169,2022-10-05,2022-10-01,2022-10-07,,
170,2022-10-05,2022-09-30,2022-10-08,,
171,2022-10-05,,,,
172,2022-10-05,,,,
173,2022-10-05,2022-09-23,2022-10-06,,
174,2022-10-04,,,,
175,2022-10-03,,,,
176,2022-10-04,,,,
177,2022-10-03,,,,
178,2022-10-03,2022-09-27,2022-10-04,,
179,2022-10-03,,,,
180,2022-10-03,,,,
181,2022-10-03,,,,
182,2022-10-03,,,,
183,2022-10-02,,,,
184,2022-10-02,2022-09-26,2022-10-04,,
185,2022-10-02,2022-09-27,2022-10-04,,
186,2022-10-01,,,,
187,2022-10-01,,2022-10-03,,
188,2022-09-30,,2022-10-01,,
189,2022-09-30,2022-09-25,2022-10-01,,
190,2022-09-29,,2022-10-01,,
191,2022-09-28,2022-09-24,2022-09-29,,
192,2022-09-27,,,,
193,2022-09-27,2022-09-22,2022-09-28,,
194,2022-09-26,2022-09-21,2022-09-27,,
195,2022-09-24,,,,
196,2022-09-24,,,,
197,2022-09-24,,,,
198,2022-09-24,,,,
199,2022-09-23,2022-09-18,2022-09-24,,
200,2022-09-23,2022-09-16,2022-09-24,,
201,2022-09-22,2022-09-17,2022-09-23,,
202,2022-09-21,2022-09-14,2022-09-22,,
203,2022-09-20,2022-09-10,2022-09-22,,
204,2022-09-20,,,,
205,2022-09-18,2022-09-13,2022-09-20,,
206,2022-09-18,2022-09-11,2022-09-19,,
207,2022-09-18,2022-09-06,2022-09-19,,
208,2022-09-16,2022-09-12,2022-09-18,,
209,2022-09-16,2022-09-05,2022-09-17,,
210,2022-09-16,,,,
211,2022-09-16,,,,
212,2022-09-14,2022-09-08,2022-09-16,,
213,2022-09-13,,,,
214,2022-09-12,,,,
215,2022-09-09,,,,
216,2022-09-08,,,,
217,2022-09-08,2022-08-29,2022-09-09,,
218,2022-09-07,,,,
219,2022-09-07,,,,
220,2022-09-06,2022-09-02,2022-09-08,,
221,2022-09-06,,,,
222,2022-09-05,2022-08-29,2022-09-06,,
223,2022-09-04,2022-08-28,2022-09-06,,
224,2022-09-04,2022-08-30,2022-09-05,,
225,2022-09-03,,,,
226,2022-09-02,,,,
227,2022-09-02,,,,
228,2022-09-02,2022-08-26,2022-09-03,,
229,2022-08-31,,,,
230,2022-08-31,2022-08-13,2022-09-02,,
231,2022-08-29,,,,
232,2022-08-29,,,,
233,2022-08-28,2022-08-24,2022-08-29,,
234,2022-08-28,,,,
235,2022-08-28,2022-08-21,2022-08-29,,
236,2022-08-26,2022-08-22,2022-08-28,,
237,2022-08-26,,,,
238,2022-08-26,,,,
239,2022-08-24,2022-08-14,2022-08-26,,
240,2022-08-24,,,,
241,2022-08-24,,,,
242,2022-08-23,,,,
243,2022-08-22,,,,
244,2022-08-19,2022-07-30,2022-08-21,,
245,2022-08-18,2022-08-13,2022-08-19,,
246,2022-08-18,,,,
247,2022-08-09,2022-08-04,2022-08-10,,
248,2022-08-08,2022-08-03,2022-08-09,,
249,2022-08-06,2022-07-24,2022-08-08,,
250,2022-08-04,,,,
251,2022-08-03,2022-07-29,2022-08-04,,
252,2022-08-02,,,,
253,2022-07-30,,,,
254,2022-07-28,,,,
255,2022-07-26,,,,
256,2022-07-26,2022-07-16,2022-07-27,,
257,2022-07-26,,,,
258,2022-07-24,,,,
259,2022-07-23,,,,
260,2022-07-20,,,,
261,2022-07-20,2022-07-11,2022-07-21,,
262,2022-07-14,,,,
263,2022-07-12,,,,
264,2022-07-12,,,,
265,2022-07-11,,,,
266,2022-07-07,,,,
267,2022-07-06,2022-06-28,2022-07-08,,
268,2022-07-06,,,,
269,2022-07-04,2022-06-28,2022-07-06,,
270,2022-06-30,,,,
271,2022-06-30,,,,
272,2022-06-25,,,,
273,2022-06-20,,,,
274,2022-06-20,,,,
275,2022-06-20,2022-06-12,2022-06-21,,
276,2022-06-19,,,,
277,2022-06-14,2022-06-08,2022-06-15,,
278,2022-06-07,,,,
279,2022-06-07,,,,
